BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Sweden"
"Country: Sweden"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:5A:4R:F:I:A:U:TO1:A:SE,,,,,,,37343,-,35754,40395,43205,42595,44804,50722,51542,54230,45292,53909,54245,48690,49210,46642,51743,49732,47362,63625,62832,64936,86966,58448,55960,57542,48491,63920,62494,64530,63726,83883,78219,84014,72385,81878,72546,78539,61778,63165,67057,76658,76533,75912,71622,70520,63891,67325,58849,61670,52342,66095,66492.484,67378.036,71671.937,65211.085,61275.791,75236.676,70730.576,69385.637,67464.233,62961.339,61884.11,73050.382,66570.396,57771.741
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4B:Domestic Banks","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:SE:4B:U:X:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55143.666,56459.703,55425.319,54236.663,44136.296,41466.687,44980.866,50517.931
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","SE:Sweden",Q:S:KR:4R:U:C:A:A:TO1:O:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.419,1.448,1.508,1.529,1.287,1.057,1.226,1.355
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:ES:4R:U:W:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,171,108,115,106,110,112,90,103,126,123,136,141,185,163.797,147.385,135.504,131.313,135.161,129.959,154.841
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:CA:4R:F:I:A:A:TO1:A:SE,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1378,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4948.79,4042.203,5347.165,5541.681
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:KR:4R:F:I:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,89,147,147,65,118,60,46,113.858,43.331,87.081,90.452,80.848,88.145,80.292,190.082
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","SE:Sweden",Q:S:BE:4R:U:C:A:A:TO1:O:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,159,173,174,292,260,252,1606,256,245,246,288,212,136,126,70,54,245,224,160,165,62,69,68,72,74,69,91,1,1,1,13,1,7,7,15,1,22,20,19,52,54,54
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SE:Sweden",Q:S:FR:4R:U:C:A:A:TO1:R:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091,3314,4027,4251,4325,4926,5495,6373,6408,7670,7426,7663,7555,8205,6015,6566,6898,7943,8184,8874,\,\,\,7858,8412,8101,7491,6628,7234,6636,5511,4951,5442,6124,7924,6187,7375,7186,4566,4771,5456,6133,6861
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:TW:4R:F:I:A:U:TO1:A:SE,,,,,,,,,,,,,66,135,268,247,148,172,196,78,100,119,101,184,70,35,62,65,57,59,41,79,43,52,140,64,79,93,56,43,60,102,77,48,134,72,487,387,298,97,68,40,14,64,75,91,97,77,182,172,220,210,287,307,319,302,290,267,269,133,164,160
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","SE:Sweden",Q:S:FR:4R:F:B:A:A:LC1:A:SE,,,,,,,226,-,122,146,867,837,751,601,572,432,1181,1047,937,504,355,410,39,80,82,170,270,294,334,429,337,348,347,449,510,543,548,912,1044,1055,3984,4260,4330,3990,3338,3168,3318,3229,1498,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,289
