BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Jersey"
"Country: Jersey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:GR:4R:F:I:A:U:TO1:A:JE,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,26,35,10,9,8,4,5,4
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:5A:4R:F:C:A:A:TO1:A:JE,240,-,-,-,-,-,0,0,31598,23037,29637,33849,38841,55979,69970,71174,78752,87355,89054,88101,100237,102313,96664,105855,83375,91581,93142,103520,114136,126156,136290,177510,213822,203760,204608,191395,143645,129107,139001,137299,136460,123806,113977,118425,117594,118048,120390,94383,88164,96842,91234.714,92311.071,89214.966,86227.461,88376.284,82947.967,99019.627,88227.951,86214.233,82569.124,75763.266,75435.115,76758.903,74119.526
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","JE:Jersey",Q:S:GB:4R:F:B:A:A:LC1:A:JE,,,,,,,,,1303,1074,1327,3137,2804,2263,2348,2284,2727,2628,2516,2388,3283,3085,3090,3152,3159,4661,4757,4994,5812,6200,5780,5517,5708,5925,5903,5159,3952,3809,4043,3918,3897,3602,3562,3695,3613,3809,3412,3247,3013,3198,3325,3265,3182,2024,1906,2960,2922,2939,3590,3202,3301,2836,2905,2767
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:IT:4R:Q:C:A:A:TO1:A:JE,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-170,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","JE:Jersey",Q:S:5A:4R:U:C:A:A:TO1:F:JE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8433.555,13197.651,13900.332,15420.781,18469.203,18559.816,17896.757,18098.398
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:AU:4R:F:C:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,135,106,106,118,127,160,125,208,129,126,191,184,140,127,316,471.714,582.071,513.966,528.461,699.284,621.967,627.753,686.042,551.035,556.045,556.945,511.855,770.79,790.518
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:SE:4R:U:W:A:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,,,5,7,12,7,16,42,34,34,35,35,38,38,69,73,63,65,63,67,42,45,45,97,51,67,70,111,28,37,64,130,106,81,84,9.657,4.695,4.643,54.334,53.94,3.642,58.757,15.399
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:GB:4R:U:C:V:A:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,682,948,547,1384,1277,1616,1760,1861,2236,1982,1381,3928,4887,1895,2361,4487,3868,4017,6421,2616,1856,2570,2538,2513,1605,1826,1977,2044,1967,2052,1379,1559,1400,1188,1205,1010,3190,3395,3252,3329,3367,3158,3414
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","JE:Jersey",Q:S:JP:4R:F:B:A:A:LC1:A:JE,,,,,,,0,0,0,0,66,83,85,89,17,17,18,18,0,0,0,0,0,0,99,100,86,88,115,133,140,137,135,135,135,122,98,96,108,103,103,97,95,100,5,26,5,14,8,26,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:FR:4R:F:I:A:U:TO1:A:JE,,,,,,,,,906,160,584,810,408,503,1561,1774,2464,3744,3312,3823,6000,5875,4822,5526,7279,7169,3855,5250,6659,6585,5969,7901,8019,6442,5606,5723,3966,2858,3078,2399,3081,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1448
