BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Marshall Islands"
"Country: Marshall Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:ES:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,71.324,74.058,18.573,6.465,0.031,7.611,69.4
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CH:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,425.4,1191.395,979.198,940.989,588.31,873.228,847.696,985.97
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:TW:4R:F:C:A:A:TO1:A:MH,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,384,\,\,\,\,\,\,\,\,\,\,\,657,572,534,569,658,620,796,850
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MH:Marshall Islands",Q:S:AU:4R:U:C:A:A:TO1:B:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.899,8.013,2.554,-,-,30.973,78.215,1.029
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:AU:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,24,42,45,76.396,80.155,84.964,94.164,133.664,142.893,68.595,103.485,70.141,82.435,117.658,98.474,1.223,30.954
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:GR:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4203,2190,4297,3974,4585,4355,4057,4242
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BE:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,213,227,328,315,291,337,340,296,417,501,578,876,731,763,1132,1077,1139,1228,1155,106,114,126,131,119,119,119,139,138,145,145,146,144,143,143,142,141,101,-,1,-,1,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:5A:4R:F:I:A:A:TO1:A:MH,1856,1868,2064,2129,2422,2339,2559,2950,3746,4679,6078,6627,8033,8503,9342,10108,10746,12363,15021,17457,20260,22936,24190,26984,27268,29940,30576,31105,31132,31663,31999,32320,33734,35266,36174,35777,37359,36460,37212.396,37036.711,36135.985,38377.737,38434.486,38321.941,39936.101,38363.899,41518.679,42720.965,43339.82,44322.175,44486.952,46150.573
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,147,\,\,\,\,\,132,88,72,222,179,392,568.67,542.162,533.917,654.505,512.95,792.881,836.41,533.379
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BR:4R:F:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
