BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CA:4R:F:I:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,528.923,\,459.319,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:F:C:A:A:TO1:A:GG,0,0,9277,8835,10324,10407,10972,16901,19360,20309,21711,24491,23909,25747,26133,26918,27234,25995,24289,30705,34882,39920,39228,43193,49178,48729,50977,57080,55177,54302,44795,39247,42228,41934,40028,35744,34238,35442,35212,38381,35343,35838,35918,36146,35598.686,38713.957,36625.046,41563.706,38727.537,39143.336,38089.666,40181.788,40162.03,41015.177,43221.652,35954.108,38597.611,38227.84
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:5A:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,12237,14939,15213,15815,20072,24156,28947,28208,31946,37195,37588,38832,43735,41976,43183,35926,32069,35072,32693,32365,28038,27196,29340,28941,28151,27451,25112,25561,25925,24399.297,25350.812,26329.947,28637.522,26719.459,26964.283,25210.055,27114.219,27209.914,25526.702,29084.983,23068.654,24313.795,24586.862
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:IT:4R:F:I:A:U:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,-,-,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,133,\,\,\,\,\,\,\,\,\,\,\,58.754,55.66,7.302,89.737,197.62,10.146,3.434,4.924
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:F:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,233,155,219,226,217,240,239,254,242.686,228.957,367.046,379.706,375.537,349.336,362.228,318.208,254.234,234.142,238.259,170.051,154.785,145.898
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:5A:4R:F:B:A:A:LC1:A:GG,0,0,670,622,583,724,1500,1785,1998,1635,1354,1561,1633,1553,1982,2090,2112,1844,1617,2685,2682,2714,3184,3182,3399,3251,3051,3098,3146,3608,2349,2344,2750,2319,2381,2379,2874,2229,2328,2519,2671,2558,2691,2803,2673,2782,2993,2888,2912,3064,3047,3397,3431,3286,3543.137,3303.686,3805.94,3259.307
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:FR:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,509
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,16050,20055,20626,20245,24815,28961,33907,34356,39238,44754,44373,44939,53638,51008,51367,41929,37629,40873,39343,37821,33195,31650,34033,33591,35633,33920,33111,32873,33136,30800.611,32019.915,32106.993,37522.291,34702.245,35035.103,26487.363,28508.243,29019.282,27740.398,31574.228,25376.568,26588.88,26685.401
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:BE:4R:F:I:A:A:TO1:A:GG,,,287,283,431,465,394,381,368,329,239,2071,332,317,210,345,393,191,191,34,243,416,200,658,551,593,462,596,589,642,373,84,130,142,62,56,48,100,119,108,106,104,106,106,103,105,104,110,92,93,87,87,87,86,86,86,86,86
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:GB:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,6418,5949,6316,6472,7113,10991,15009,13188,12784,15600,14985,16509,18818,17250,16679,10283,10850,12058,10005,9648,8037,7857,8870,7860,7860,7811,6682,7571,8601,7029,7543,8359,8167,7041,7457,8390,9427,8902,9889,14367,9238,9145,9738
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:FR:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,35,105,90,90,93,113,738,1206,764,635,438,989,1065,46,65,138,107,84,92,115,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,32
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GB:4R:Q:C:A:A:TO1:A:GG,,,-1480,-1564,-2156,-2068,-2078,-1930,-2530,-2083,-2005,-2417,-1964,-1075,-1309,-1325,-1778,-1403,-1193,-1721,-1979,-1317,-1994,-1969,-1936,-2433,-3152,-1799,-1765,-1370,-1265,-682,-799,-1711,-1654,-1582,-2433,-833,-1420,-2398,-1100,-1221,-1110,-921,-2408,-2821,-1863,-1231,-1720,-2053,-1535,-1847,-1286,-603,-304,-281,38,-79
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GR:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,23,16,16,28,29,25,18,23,20,23,5,17,42,44,42,40,41,59,123,152,127,150,198,173,168,179,156,154,137,92,89,147,130,68,112,71,132,135,125,65,72,66,64
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1831.367,1750,1662.068,1672.877,1597.219,1491.576,1676.092
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:DE:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1961,2156,2411,2169,1923,1724,1916,1701
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:BE:4R:F:C:A:A:TO1:A:GG,,,287,283,431,465,394,381,368,329,239,2071,332,317,210,345,393,191,191,218,445,606,371,943,875,979,806,935,920,928,373,84,130,142,62,56,48,100,119,108,106,104,106,106,103,105,104,110,92,93,87,87,87,86,86,86,86,86
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:GB:4R:F:B:A:A:LC1:A:GG,,,480,443,467,577,1412,1264,1323,1040,981,1090,1124,1035,1766,1868,1814,1620,1351,1832,1986,1995,2689,2614,2588,2559,2419,2441,2567,2399,1961,2058,2495,2106,2148,2157,2656,1982,2043,2169,2187,2095,2132,2125,2114,2209,2255,2242,2254,2436,2585,2856,2922,2785,3354,3102,2855,3017
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,-,8,6,8,8,9,8,8.797,9.512,9.157,8.095,7.298,6.614,6.073,5.898,5.691,7.627,9.704,6.393,6.609,7.171
