BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:F:I:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5597.121,5148.582,4955.975,4935.58,3628.097,3657.694,3134.002,3069.989
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:F:I:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,233,155,219,226,217,240,239,254,242.686,228.957,367.046,379.706,375.537,349.336,362.228,318.208,254.234,234.142,238.259,170.051,154.768,145.867
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GG:Guernsey",Q:S:GB:4R:U:C:A:A:TO1:F:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029,2366,2926,5349,2545,2484,2852
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:ES:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,31,43,101,214,347,398,367,401,495,930,993,1120,1005,823,615,680,714,764,781,786,856,979,944,930,592,657,802,640,601,764,822,833,875,1046,1055,963.726,1038.187,953.171,909.214,834.038,912.666,995.588
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","GG:Guernsey",Q:S:5A:4O:F:B:A:A:LC1:A:GG,0,0,714,680,635,745,1522,1803,2017,1658,1383,1561,1633,1553,1983,2090,2112,1844,1617,2685,2682,2714,3184,3182,3399,3251,3051,3098,3146,3608,2349,2344,2750,2319,2381,2379,2874,2229,2328,2519,2671,2558,2691,2803,2673,2782,2993,2888,2912,3064,3047,3397,3431,3286,3543.137,3303.686,3805.94,3259.307
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:CH:4R:F:C:A:A:TO1:A:GG,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5597.121,5148.582,4955.975,4935.58,3628.097,3657.694,3134.002,3069.989
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:US:4R:Q:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151,-274,-273,-465,-455,-657,-1700,-1564
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,28,33,31,25,121,87,39,41,47,48,57,215,224,142,113,110,120,137,209,132,135,373,382,364,305,271,221,362,702,511,1509,4093,3396,4008,3196.248,3321.894,3434.337,2771.167,2831.299,2285.489,3322.952,3632.516
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:SE:4R:U:C:V:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,1,4,15,3,11,8,31,17,17,6,40,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,2,1,0.455,1.75,1.955,2.5,2.394,3.734,4.728,1.251
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:BE:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,183,241,161,164,189,413,572,318,886,802,898,691,818,877,899,364,81,130,141,65,59,53,106,111,112,111,109,108,113,103,105,112,110,93,93,86,84,85,85,84,82,82,82
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GG:Guernsey",Q:S:AT:4R:U:C:A:A:TO1:R:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,83.431,65.806,239.447,117.247,28.412,15.161,17.56,16.933
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AT:4R:Q:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-28.872,-29.788,-29.876
