BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Isle of Man"
"Country: Isle of Man"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:DE:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,142,146,156,145,158,165,136,159
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:ES:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,12.051,9.942,10.065,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:CA:4R:F:C:A:A:TO1:A:IM,,,,,,,,,,,,,,\,\,-,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,72.243,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4O:F:I:A:A:TO1:A:IM,9,-,-,-,-,-,0,0,4559,4136,4621,4685,4783,4800,5065,5380,6806,7031,7832,8205,11144,12918,13266,12008,11336,11906,15134,13642,16885,18080,19242,19561,20732,23436,25346,24437,22097,23219,29008,29037,28959,28045,25686,26203,25155,25633,25994,23144,23482,23071,22149.952,23317.765,22246.287,20518.971,20022.104,20114.395,19898.631,19737.562,20125.258,18460.51,18557.688,17694.266,19211.467,19822.682
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:ES:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-6.613,-5.618,-6.571,-6.691
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:DE:4R:F:C:A:A:TO1:A:IM,,,,,,,,,,,,,,1306,1316,1618,1725,1663,1714,1605,1810,2214,2711,2723,2242,2447,2760,2671,3017,3253,3404,3543,3855,4425,4806,4602,4581,4615,5307,5340,5363,5236,5084,5310,5159,5354,5214,5421,5384,5431,5431,5447,5453,5062,5260,4899,4601,4451,4506,4118,4316,4284,4226,4164
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:IT:4R:U:X:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,106,\,\,\,\,\,\,\,\,\,\,\,28.188,28.508,27.745,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4R:U:C:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,11712,12040,10700,10039,11736,14813,13900,16529,18653,20204,21506,21976,23978,26242,25914,21175,27048,33078,32561,31989,25091,23707,24563,23827,24287,25130,22905,22169,21866,21223.952,22702.765,22108.284,20549.064,20369.814,20492.015,19695.847,20733.822,19998.055,18545.62,19281.202,18669.286,20008.545,20623.764
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","IM:Isle of Man",Q:S:FR:4R:U:C:A:A:TO1:O:IM,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,-,-,282,21,-,-,-,0,0,\,\,\,-,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,\,\,3
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:DE:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4,4,4,4,4,3,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","IM:Isle of Man",Q:S:SE:4R:U:C:A:A:TO1:B:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,43,43,37,29,27,30,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:JP:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,28,43,82,124,129,142,163,167,214,255,244,48,41,1117,69,83,89,108,147,157,197,163,151,150,177,106,99,93,108,318,292,290.4,301.2,330.6,141.4,140.9,386.2,312.4,308.2
